MADANTOC,TENDANTOC
DT001,Kinh
DT002,Tày
DT003,Thái
DT004,Mường
DT005,Khmer
DT006,H'Mông
DT007,Nùng
DT008,Hoa
DT009,Dao
DT010,Gia Rai
DT011,Ê Đê
DT012,Ba Na
DT013,Xơ Đăng
DT014,Sán Chay
DT015,Cơ Ho
DT016,Chăm
DT017,Sán Dìu
DT018,Hrê
DT019,Ra Glai
DT020,Mnông
DT021,Xtiêng
DT022,Bru - Vân Kiều
DT023,Thổ
DT024,Khơ Mú
DT025,Cơ Tu
DT026,Giáy
DT027,Giẻ Triêng
DT028,Tà Ôi
DT029,Mạ
DT030,Co
DT031,Chơ Ro
DT032,Xinh Mun
DT033,Hà Nhì
DT034,Chu Ru
DT035,Lào
DT036,Kháng
DT037,La Chí
DT038,Phù Lá
DT039,La Hủ
DT040,La Ha
DT041,Pà Thẻn
DT042,Chứt
DT043,Lự
DT044,Lô Lô
DT045,Mảng
DT046,Cờ Lao
DT047,Bố Y
DT048,Cống
DT049,Ngái
DT050,Si La
DT051,Pu Péo
DT052,Rơ Măm
DT053,Brâu
DT054,Ơ Đu
