MANGHENGHIEP,MAVIENCHUC,MACOQUAN,NGAYTUYENDUNG
NN006,VCKT000001,CQ006,2010-10-23 0:00:00
NN004,VCHR000001,CQ006,2015-03-16 0:00:00
NN004,VCTT000001,CQ006,2010-08-18 0:00:00
NN002,VC00000001,CQ006,1997-02-26 0:00:00
NN002,VC00000002,CQ006,1999-02-26 0:00:00
NN001,VC00000003,CQ006,2015-06-07 0:00:00
NN001,VC00000004,CQ006,2010-10-23 0:00:00
NN001,VC00000005,CQ006,2025-03-24 0:00:00
NN002,VC00000006,CQ006,1997-07-09 0:00:00
NN004,VC00000007,CQ006,1999-08-14 0:00:00
NN004,VC00000008,CQ006,2014-06-29 0:00:00
